Designator,Mid X,Mid Y,Rotation,Layer
F1,172.764,-112.86,0.0,top
H1,108.8,-40.0,0.0,top
H2,108.8,-130.0,0.0,top
H3,188.8,-130.0,0.0,top
H4,188.8,-40.0,0.0,top
L1,143.881,-124.73,0.0,top
M1,155.19,-85.5,0.0,top
M2,155.19,-91.0,0.0,top
M3,155.19,-96.0,0.0,top
M4,155.23,-101.5,0.0,top
M5,155.19,-107.0,0.0,top
M7,154.46,-112.5,0.0,top
R1,172.19,-118.5,0.0,top
R2,184.19,-115.0,0.0,top
R3,184.19,-120.5,0.0,top
S1,164.5,-126.5,0.0,top
U1,172.19,-50.69,0.0,top
U2,127.8,-82.36,0.0,top
U3,173.69,-88.5,0.0,top
U4,173.69,-93.868,0.0,top
U5,173.69,-99.236,0.0,top
U6,109.5,-91.42,90.0,top
